Filename  Powerreq Sreq Wingspan
m12 358.87 3.7450 2.7368 
m15 346.79 4.2973 2.9316 
m18 354.07 4.3886 2.9626 
m3 302.31 5.2517 3.2409 
m6 356.45 3.8193 2.7638 
m685 331.93 4.2855 2.9276 
marske1 335.15 4.4385 2.9794 
marske2 351.59 3.8945 2.7909 
marske3 353.47 3.9108 2.7967 
marske4 349.03 3.9863 2.8236 
marske5 344.20 4.1685 2.8874 
mb253515sm 371.05 3.5991 2.6830 
mh102 384.94 3.4506 2.6270 
mh104 324.03 4.5214 3.0071 
mh106 307.37 4.9958 3.1610 
mh108 313.57 4.7444 3.0804 
mh115 429.51 3.0954 2.4882 
mh120 360.36 3.7671 2.7449 
mh18 300.88 5.3497 3.2710 
mh200 339.83 4.2556 2.9174 
mh201 380.64 3.5031 2.6469 
mh49 297.96 5.5550 3.3332 
mh60 316.23 4.6165 3.0386 
mh61 293.86 5.4920 3.3142 
mh70 365.41 3.6889 2.7162 
mh78 329.21 4.5112 3.0037 
mh80 361.87 3.7321 2.7321 
mh81 366.67 3.6496 2.7017 
mh82 384.97 3.4874 2.6410 
mh83 420.28 3.4421 2.6238 
mh84 401.96 3.2867 2.5639 
mh91 352.54 3.9283 2.8030 
mh92 351.50 3.9660 2.8164 
mh93 361.25 3.8059 2.7589 
mh94 371.52 3.6355 2.6965 
mh95 380.77 3.5384 2.6602 
miley 391.22 4.3384 2.9457 
mrc-16 363.70 3.7192 2.7274 
mrc-20 329.64 4.1996 2.8981 
ms313 366.59 3.7341 2.7328 
ms317 378.74 3.6065 2.6857 
mue139 434.86 3.2457 2.5478 
n0011sc 325.35 4.9483 3.1459 
n0012 313.12 4.7444 3.0804 
n10 343.42 4.2186 2.9047 
n11 360.53 3.9604 2.8144 
n12 299.87 5.2913 3.2531 
n13 315.03 4.8028 3.0993 
n14 315.02 4.8576 3.1169 
n1h15 400.46 4.4148 2.9715 
n2414 387.28 3.3654 2.5944 
n2415 388.78 3.3510 2.5888 
n5h15 320.46 5.1103 3.1970 
n63015a 303.23 5.2933 3.2537 
n63215 331.93 4.3955 2.9649 
n63215b 352.04 3.9515 2.8112 
n63412 324.02 4.4896 2.9965 
n63415 367.54 3.6793 2.7127 
n64012 278.90 7.3175 3.8256 
n64012a 276.95 7.2570 3.8097 
n64015 302.52 5.4578 3.3039 
n64015a 300.21 5.4855 3.3123 
n64212 294.28 5.6785 3.3700 
n64212ma 369.48 3.7905 2.7534 
n64212mb 334.15 4.2595 2.9187 
n64215 327.39 4.5360 3.0120 
n6h15 345.37 4.6687 3.0557 
n8h12 371.46 3.6364 2.6968 
naca0010 291.97 5.5770 3.3398 
naca001064 293.36 6.0037 3.4652 
naca001065 301.96 5.9782 3.4578 
naca001066 307.39 6.9551 3.7296 
naca001264 311.27 5.2596 3.2433 
naca0015 334.17 4.2198 2.9051 
naca0018 352.39 3.8967 2.7917 
naca0021 356.36 3.8688 2.7817 
naca0024 352.28 3.9953 2.8268 
naca1410 305.61 4.9746 3.1542 
naca1412 333.66 4.2135 2.9029 
naca16018 364.85 4.9413 3.1437 
naca16021 383.25 4.8677 3.1202 
naca23012 347.08 3.9294 2.8034 
naca2410 328.63 4.3505 2.9498 
naca2411 360.83 3.7823 2.7504 
naca4415 412.14 3.1517 2.5107 
naca632615 399.79 3.2345 2.5434 
naca632a015 354.74 3.8709 2.7824 
naca633018 350.22 4.0577 2.8487 
naca633218 369.99 3.6611 2.7059 
naca633418 398.78 3.2967 2.5678 
naca633618 347.42 4.1015 2.8641 
naca634221 380.09 3.5955 2.6816 
naca634421 352.31 4.1159 2.8691 
naca6412 389.05 3.5690 2.6717 
naca642215 327.39 4.5360 3.0120 
naca642415 361.70 3.7772 2.7485 
naca643218 351.86 4.0483 2.8455 
naca643418 393.78 3.3743 2.5978 
naca643618 409.95 3.1588 2.5135 
naca644221 377.63 3.6630 2.7066 
naca644421 326.29 4.9781 3.1553 
naca651212a06 291.06 6.0140 3.4681 
naca651412 308.34 5.0280 3.1711 
naca652215 324.43 4.7476 3.0814 
naca652415 341.59 4.2009 2.8986 
naca652415a05 347.09 4.0848 2.8583 
naca653218 348.59 4.2313 2.9090 
naca662415 329.68 5.8732 3.4273 
naca663218 344.17 6.8937 3.7131 
naca663418 356.76 5.0881 3.1900 
naca664221 389.20 4.9085 3.1332 
naca671215 354.37 5.0298 3.1717 
naca747a315 370.24 3.6899 2.7166 
naca747a415 377.04 3.5644 2.6700 
nlf0115 363.31 3.8162 2.7627 
nlf0215f 399.82 3.3068 2.5717 
nlf416 368.66 3.7065 2.7227 
nlr7301 331.43 4.8914 3.1278 
nn7mk20 334.63 4.4568 2.9856 
npl9510 300.64 5.9604 3.4527 
npl9615 340.02 4.0801 2.8566 
npl9626 316.78 4.6256 3.0416 
npl9627 342.33 4.0194 2.8353 
npl9660 327.13 4.3941 2.9645 
nplx 290.70 6.4092 3.5803 
oa212 361.64 3.7671 2.7449 
oa213 371.46 3.7065 2.7227 
oaf102 337.06 4.2440 2.9134 
oaf117 352.40 3.8945 2.7909 
oaf128 341.05 4.1317 2.8746 
oaf139 302.06 5.4095 3.2892 
p51droot 361.70 3.8100 2.7604 
p51hroot 328.95 6.8600 3.7040 
p51htip 263.81 6.7189 3.6658 
psu-90-125wl 362.90 3.7232 2.7288 
pt40 409.38 3.4918 2.6426 
r1082 318.35 5.0899 3.1906 
r1082t 308.21 5.4304 3.2956 
r140 273.15 8.1214 4.0302 
rae104 283.83 7.1791 3.7892 
rae2822 297.69 5.9935 3.4622 
rae5212 345.88 4.1390 2.8771 
rae69ck 297.69 5.9935 3.4622 
raf30 300.87 5.2031 3.2259 
raf31 372.30 3.5708 2.6724 
raf32 418.45 3.1313 2.5025 
raf32md 369.48 3.7271 2.7302 
raf33 339.23 4.2224 2.9060 
raf34 363.21 3.6938 2.7180 
raf38 376.99 3.4944 2.6436 
raf48 372.88 3.5780 2.6751 
raf69 375.26 3.5899 2.6795 
raf89 365.78 3.8318 2.7683 
rc10n1 307.55 4.9640 3.1509 
rc1264c 334.30 4.4512 2.9837 
rc12b3 371.78 3.6364 2.6968 
rc12n1 323.46 4.5536 3.0178 
rg1410 338.40 4.1317 2.8746 
rg15a111 346.20 3.9885 2.8244 
rg15a213 369.77 3.6093 2.6867 
rg8 343.42 4.0991 2.8633 
rhodesg32 351.98 4.0789 2.8562 
s1012 334.89 4.5640 3.0213 
s1046 314.55 4.8744 3.1223 
s2027 334.88 4.2595 2.9187 
s2091 389.40 3.4506 2.6270 
s3 312.06 4.7444 3.0804 
s3010 355.14 3.8497 2.7748 
s4022 341.74 3.8945 2.7909 
s4158 380.98 3.6563 2.7042 
s4233 326.43 4.5054 3.0018 
s4310 396.09 3.4062 2.6101 
s7055 309.23 4.5404 3.0134 
s8035 320.76 4.5433 3.0144 
s8036 371.56 3.6186 2.6902 
s8037 404.88 3.1839 2.5234 
s8038 330.17 4.3198 2.9393 
s8052 343.87 4.0565 2.8483 
s8055 378.93 3.5101 2.6496 
sc1012r8 350.57 4.1063 2.8658 
sc20010 280.30 6.7969 3.6870 
sc20012 293.37 5.9078 3.4374 
sc20412 323.02 4.9711 3.1531 
sc20414 338.03 4.5610 3.0203 
sc20518 369.99 3.8486 2.7744 
sc20612 330.71 4.7978 3.0977 
sc20614 346.21 4.4134 2.9710 
sc20712 328.41 4.9292 3.1398 
sc20714 348.10 4.5389 3.0129 
sd6060 318.79 4.5984 3.0326 
sd7034 408.21 3.2093 2.5335 
sd7062 401.86 3.2828 2.5624 
