Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  WF  WFs
goe604   4.20 0.0987    4  52.04    6 -0.5885    6 1.61    2 
goe433   4.20 0.1001    4  51.53    6 -0.8473    1 1.66    2 
goe413   4.20 0.0973    4  50.95    6 -0.7546    2 1.63    2 
v43012   4.20 0.0932    5  44.97    4 -0.2805   10 1.52    4 
pt40   4.20 0.0934    5  42.59    4 -0.5132    7 1.52    4 
cr1   4.20 0.0929    5  45.09    4 -0.6334    4 1.53    4 
ui1720   4.15 0.1643    1  29.95    1 -0.5549    6 1.02   10 
naca633618   4.15 0.1092    3  41.42    4 -0.6888    3 1.47    5 
fx78k161   4.15 0.2277    1  17.94    1 -0.4845    8 1.19   10 
fx78k140a20   4.15 0.2119    1  19.75    1 -0.7188    3 1.23   10 
e543   4.15 0.1697    1  23.98    1 -0.3643    9 1.11   10 
e342   4.15 0.1040    3  42.30    4 -0.3186   10 1.49    5 
dsma523b   4.15 0.1514    1  24.45    1 -0.5383    7 1.16   10 
ah88k136   4.15 0.1795    1  24.94    1 -0.6212    5 1.17   10 
ah82150f   4.15 0.2223    1  17.13    1 -0.6197    5 1.18   10 
ah79k143   4.15 0.1584    1  28.54    1 -0.6311    5 1.17   10 
nn7mk20   4.10 0.1294    2  32.18    2 -0.6058    5 1.37    8 
naca643418   4.10 0.1227    2  31.84    2 -0.5253    7 1.37    8 
goe703   4.10 0.1319    2  35.26    2 -0.4969    8 1.35    8 
e344   4.10 0.1019    4  48.31    5 -0.4730    8 1.57    3 
goe319   4.05 0.0944    5  51.60    6 -0.5459    7 1.79    1 
fxs02196   4.05 0.1170    3  40.93    3 -0.6934    3 1.45    6 
e598   4.05 0.0904    6  43.23    4 -0.3220   10 1.55    3 
e585   4.05 0.1137    3  37.11    3 -0.5779    6 1.45    6 
e1210   4.05 0.0938    5  50.96    6 -0.5554    6 1.80    1 
naca652415   4.00 0.1192    2  30.74    1 -0.5029    8 1.28    9 
ls413   4.00 0.0983    4  44.64    4 -0.6425    4 1.55    4 
goe290   4.00 0.1011    4  43.85    4 -0.5368    7 1.53    4 
e549   4.00 0.1197    2  30.94    1 -0.4528    8 1.30    9 
arad13   4.00 0.0849    7  46.94    5 -0.3422   10 1.73    1 
ah93w145   4.00 0.0992    4  43.83    4 -0.5846    6 1.53    4 
e558   3.95 0.0932    5  48.29    5 -0.6907    3 1.63    2 
sc20614   3.95 0.1111    3  34.74    2 -0.5249    7 1.40    7 
marske3   3.95 0.1091    3  33.87    2 -0.0943   10 1.40    7 
goe626   3.90 0.1073    3  47.74    5 -0.8444    1 1.59    3 
goe628   3.85 0.0974    4  51.48    6 -0.6620    4 1.79    1 
goe534   3.85 0.0986    4  49.69    6 -0.5779    6 1.74    1 
goe288   3.85 0.1025    4  52.16    6 -0.8259    2 1.99    1 
naca643618   3.85 0.1185    2  39.90    3 -0.7309    3 1.45    6 
fx63158   3.80 0.1116    3  42.01    4 -0.6574    4 1.53    4 
r1082t   3.80 0.1374    1  26.17    1 -0.3659    9 1.30    9 
naca644421   3.80 0.1396    1  25.78    1 -0.4717    8 1.30    9 
fxs03182   3.80 0.1831    1  21.75    1 -0.6288    5 1.26    9 
fx79k144   3.80 0.1558    1  25.34    1 -0.5202    7 1.27    9 
e266   3.80 0.1738    1  21.72    1 -0.3867    9 1.26    9 
ah93k131   3.80 0.1544    1  25.96    1 -0.5261    7 1.25    9 
ah93k130   3.80 0.1687    1  25.01    1 -0.5775    6 1.24    9 
sm701   3.75 0.0980    4  48.00    5 -0.7289    3 1.65    2 
sc20714   3.75 0.1205    2  32.11    2 -0.5195    7 1.42    7 
naca633418   3.75 0.1185    2  33.14    2 -0.5166    7 1.39    7 
goe735   3.75 0.1213    2  36.95    2 -0.3225   10 1.39    7 
goe425   3.75 0.0971    4  47.06    5 -0.5867    6 1.65    2 
goe404   3.75 0.1001    4  46.43    5 -0.5315    7 1.68    2 
k3   3.70 0.1149    3  38.65    3 -0.7907    2 1.47    5 
